[0, 5.842409200035036]
[1, 6.178945099934936]
[2, 6.552695000078529]
[3, 6.885795000009239]
[4, 7.190451399888843]
[5, 7.477331799920648]
[6, 7.8017368000000715]
[7, 8.599157100077718]
[8, 9.589399399934337]
[9, 10.917434399947524]
[10, 11.627461700001732]
[11, 12.616891999961808]
[12, 13.611713799880818]
[13, 14.60476760007441]
[14, 15.624349300051108]
[15, 16.663357799872756]
[16, 17.680729700019583]
[17, 18.625596300000325]
[18, 19.622561800060794]
[19, 20.635296399937943]
[20, 21.66239390010014]
[21, 22.578828800003976]
[22, 23.61889800010249]
[23, 24.609002700075507]
[24, 25.64818980009295]
[25, 26.639024999924004]
[26, 27.59344969992526]
[27, 28.561411099974066]
[28, 29.534779800102115]
[29, 30.64244530000724]
[30, 31.57064300007187]
[31, 32.59082549996674]
[32, 33.592863800004125]
[33, 34.63914859993383]
[34, 35.542290000012144]
[35, 36.61454119998962]
[36, 37.57319930009544]
[37, 38.54073040001094]
[38, 39.61673510004766]
[39, 40.57553029991686]
[40, 41.548321299953386]
[41, 42.531827399972826]
[42, 43.522649799939245]
[43, 44.58990700007416]
[44, 45.5640054999385]
[45, 46.52629860001616]
[46, 47.60258050006814]
[47, 48.79175129998475]
[48, 49.61456930008717]
[49, 50.61705229990184]
[50, 51.906367199961096]
[51, 52.611964100040495]
[52, 53.61419810005464]
[53, 54.61137200007215]
[54, 55.610342300031334]
[55, 56.775907000061125]
[56, 57.61656440002844]
[57, 58.61933259991929]
[58, 59.633517999900505]
[59, 60.64985099993646]
[60, 61.57649310003035]
[61, 62.59499150002375]
[62, 63.60476929997094]
[63, 64.60304459999315]
[64, 65.60906619997695]
[65, 66.6094728000462]
[66, 67.60600219992921]
[67, 68.63125089998357]
[68, 69.53520760009997]
[69, 70.63971760007553]
[70, 71.57108910009265]
[71, 72.58122509997338]
[72, 73.59738729987293]
[73, 74.60234580002725]
[74, 75.60604460001923]
[75, 76.95802169991657]
[76, 77.58568460005336]
[77, 78.59800429991446]
[78, 79.61613159999251]
[79, 80.56036980007775]
[80, 81.5829777000472]
[81, 82.58955590007827]
[82, 83.6053263999056]
[83, 84.56782029988244]
[84, 85.57343539991416]
[85, 86.56990300002508]
[86, 87.58217750000767]
[87, 88.61499910010025]
[88, 89.5510225999169]
[89, 90.57026110007428]
[90, 91.57149420003407]
[91, 92.59097220003605]
[92, 93.60796900000423]
[93, 94.54360099998303]
[94, 95.55994930001907]
[95, 96.5789665998891]
[96, 97.6046698000282]
[97, 98.61639339989051]
[98, 99.59376559988596]
[99, 100.61851330008358]
[100, 102.1782102000434]
[101, 102.60157399997115]
[102, 103.59777770005167]
[103, 104.62447779998183]
[104, 105.58819029992446]
[105, 106.60960309999064]
[106, 107.55881089996547]
[107, 108.5727703999728]
[108, 109.59455420006998]
[109, 110.61096499999985]
[110, 111.53304570005275]
[111, 112.54720859997906]
[112, 113.5643072000239]
[113, 114.58546030009165]
[114, 115.59134389995597]
[115, 116.60360129992478]
[116, 117.63144790008664]
[117, 118.58215310005471]
[118, 119.5983205998782]
[119, 120.6095551000908]
[120, 121.54019790003076]
[121, 122.55615029996261]
[122, 123.56112289987504]
[123, 124.5994223000016]
[124, 125.61039089993574]
[125, 126.53461219999008]
[126, 127.5537517000921]
[127, 128.57178890006617]
[128, 129.58380519994535]
[129, 130.60391309997067]
[130, 131.60468899994157]
[131, 132.6177612999454]
[132, 133.62518150010146]
[133, 134.55887719988823]
[134, 135.57286190008745]
[135, 136.5846621999517]
[136, 137.58899109996855]
[137, 138.5976911999751]
[138, 139.6145657999441]
[139, 140.55483309994452]
[140, 141.58809199999087]
[141, 142.61590639990754]
[142, 143.57131340005435]
[143, 144.5650361001026]
[144, 145.58160499995574]
[145, 146.60302060004324]
[146, 147.62071219994687]
[147, 148.5569237000309]
[148, 149.5778218000196]
[149, 150.58382460009307]
[150, 151.61778989993036]
[151, 152.64130809996277]
[152, 153.64979949989356]
[153, 154.5664037000388]
[154, 155.58764700009488]
[155, 156.59760389989242]
[156, 157.6136030999478]
[157, 158.65885780006647]
[158, 159.59544990002178]
[159, 160.63658359996043]
[160, 161.591358799953]
[161, 162.61667119991034]
[162, 163.55260129994713]
[163, 164.58851750008762]
[164, 165.61513689998537]
[165, 166.5510078999214]
[166, 167.59878730005585]
[167, 168.6185943998862]
[168, 169.5605007999111]
[169, 170.60171879990958]
[170, 171.62178210006095]
[171, 172.57830909988843]
[172, 173.61544020008296]
[173, 174.5563626999501]
[174, 175.57838429999538]
[175, 176.60116080008447]
[176, 177.61759559996426]
[177, 178.57119769998826]
[178, 179.60107470001094]
[179, 180.62596670002677]
[180, 181.5544620999135]
[181, 182.58122680010274]
[182, 183.60095539991744]
[183, 184.54830750008114]
[184, 185.58212659996934]
[185, 186.60118769994006]
[186, 187.6240650000982]
[187, 188.58098679990508]
[188, 189.60621139989235]
[189, 190.63688979996368]
[190, 191.56894770008512]
[191, 192.61472339998]
[192, 193.6385437999852]
[193, 194.5831208000891]
[194, 195.58687680005096]
[195, 196.59853690001182]
[196, 197.61469969991595]
[197, 198.63617400010116]
[198, 199.56585090002045]
[199, 200.56420570006594]
[200, 201.596542699961]
[201, 202.6319454999175]
[202, 203.56645889999345]
[203, 204.57601469988003]
[204, 205.60133139998652]
[205, 206.6316788000986]
[206, 207.55856160004623]
[207, 208.58759779995307]
[208, 209.6205273999367]
[209, 210.63533769990318]
[210, 211.56548659992404]
[211, 212.58386910008267]
[212, 213.6051090999972]
[213, 214.61452440009452]
[214, 215.5364794000052]
[215, 216.6483577999752]
[216, 217.6035740999505]
[217, 218.5426715000067]
[218, 219.56574689992703]
[219, 220.5918171000667]
[220, 221.61763960006647]
[221, 222.58900170004927]
[222, 223.61798430001363]
[223, 224.55421010009013]
[224, 225.57044770009816]
[225, 226.597975499928]
[226, 227.6087140000891]
[227, 228.6517447999213]
[228, 229.59523339988664]
[229, 230.63220959994942]
[230, 231.56627229996957]
[231, 232.6170663998928]
[232, 233.54988770000637]
[233, 234.55827250005677]
[234, 235.77033389988355]
[235, 236.61158700007945]
[236, 237.53187389997765]
[237, 238.5490796000231]
[238, 239.5765034998767]
[239, 240.59306239988655]
[240, 241.62472900003195]
[241, 242.571784599917]
[242, 243.65579269989394]
[243, 244.57128940010443]
[244, 245.57179230009206]
[245, 246.60982710006647]
[246, 247.5672426999081]
[247, 248.61185369989835]
[248, 249.5650843998883]
[249, 250.5816909999121]
[250, 251.6147578000091]
[251, 252.56503789988346]
[252, 253.60346950008534]
[253, 254.59849620005116]
[254, 255.61699280003086]
[255, 256.5433859000914]
[256, 257.5570658000652]
[257, 258.5689274999313]
[258, 259.5667274000589]
[259, 260.60792390001006]
[260, 261.61673719994724]
[261, 262.5702490999829]
[262, 263.6160081999842]
[263, 264.65540839987807]
[264, 265.55183229991235]
[265, 266.5741663000081]
[266, 267.53749709995463]
[267, 268.569349499885]
[268, 269.6014413998928]
[269, 270.5505510000512]
[270, 271.58270899998024]
[271, 272.53951360005885]
[272, 273.65868110000156]
[273, 274.5577706999611]
[274, 275.58555909991264]
[275, 276.6188135999255]
[276, 277.50198250007816]
[277, 278.6240437000524]
[278, 279.57926560007036]
